"PointID"	"x"	"y"	"Displacement_1"	"Displacement_2"	"Sxx"	"Syy"	"Sxy"	"Von_Mises_Stress"
11	0.000000000000000e+00	4.000000000000000e+00	0.000000000000000e+00	-3.072179449131283e-02	6.592056260674983e+02	-7.293955554118989e+01	7.429692507480303e+01	7.470720843768039e+02	
12	0.000000000000000e+00	3.000000000000000e+00	0.000000000000000e+00	-3.069154827846962e-02	9.783068806162408e+02	-4.497929209690777e+01	7.298531102152928e+01	1.033645013418805e+03	
13	0.000000000000000e+00	2.000000000000000e+00	0.000000000000000e+00	-3.065410153697308e-02	1.305815414596412e+03	-2.368509502445155e+01	7.210052102629290e+01	1.337297852242045e+03	
14	0.000000000000000e+00	1.000000000000000e+00	0.000000000000000e+00	-3.060846530109550e-02	1.645408056093275e+03	-9.978510902695561e+00	7.144250095474794e+01	1.661541696726682e+03	
15	1.000000000000000e+00	0.000000000000000e+00	2.003748480840533e-04	-3.053497845732575e-02	2.014386385390037e+03	5.514201784566873e+01	4.596120715791614e+00	1.959265931173425e+03	
16	2.000000000000000e+00	0.000000000000000e+00	3.995821193746103e-04	-3.047995470522253e-02	1.997290342428666e+03	5.483478446926831e+01	8.828925258443540e+00	1.942535815456753e+03	
17	3.000000000000000e+00	0.000000000000000e+00	5.965522033369620e-04	-3.038888977871777e-02	1.970316661015293e+03	5.430347580359476e+01	1.241196265146328e+01	1.916173988230850e+03	
18	4.000000000000000e+00	0.000000000000000e+00	7.903901242663237e-04	-3.026265978954409e-02	1.935415264484625e+03	5.353783892031249e+01	1.518595911385083e+01	1.882122498209241e+03	
19	5.000000000000000e+00	0.000000000000000e+00	9.804170779258911e-04	-3.010234326790195e-02	1.894768950867770e+03	5.254799922320189e+01	1.712892227877551e+01	1.842539452655478e+03	
20	6.000000000000000e+00	0.000000000000000e+00	1.166174282049726e-03	-2.990911871855003e-02	1.850455741263012e+03	5.136887535013310e+01	1.833004510368394e+01	1.799460339466874e+03	
21	7.000000000000000e+00	0.000000000000000e+00	1.347396687493696e-03	-2.968417825558060e-02	1.804210374203970e+03	5.005367095991174e+01	1.894390502143208e+01	1.754565822557224e+03	
22	8.000000000000000e+00	0.000000000000000e+00	1.523969495714529e-03	-2.942866784462871e-02	1.757313651705690e+03	4.866122540770955e+01	1.914380830908079e+01	1.709081348409219e+03	
23	9.000000000000000e+00	0.000000000000000e+00	1.695880486254447e-03	-2.914365545673535e-02	1.710594066067943e+03	4.724379896453684e+01	1.908723165932531e+01	1.663788267996454e+03	
24	1.000000000000000e+01	0.000000000000000e+00	1.863177590165108e-03	-2.883012202058792e-02	1.664501684196354e+03	4.583966248062074e+01	1.889765681552354e+01	1.619103216684265e+03	
25	1.100000000000000e+01	0.000000000000000e+00	2.025936443067153e-03	-2.848896742265977e-02	1.619211375793544e+03	4.447135482497451e+01	1.866042199820260e+01	1.575182205027944e+03	
26	1.200000000000000e+01	0.000000000000000e+00	2.184238715736469e-03	-2.812102416569306e-02	1.574723375365741e+03	4.314800902918326e+01	1.842731906925451e+01	1.532018722836402e+03	
27	1.300000000000000e+01	0.000000000000000e+00	2.338159647105044e-03	-2.772707320123598e-02	1.530944101616602e+03	4.186944135290774e+01	1.822484606893640e+01	1.489520702741786e+03	
28	1.400000000000000e+01	0.000000000000000e+00	2.487762299175331e-03	-2.730785864840144e-02	1.487742472088787e+03	4.063021042796355e+01	1.806265367261705e+01	1.447563102486344e+03	
29	1.500000000000000e+01	0.000000000000000e+00	2.633096113383224e-03	-2.686409989550808e-02	1.444984278587777e+03	3.942274164810736e+01	1.794047433969269e+01	1.406019443891990e+03	
30	1.600000000000000e+01	0.000000000000000e+00	2.774197855424791e-03	-2.639650074513092e-02	1.402550094675196e+03	3.823932297998245e+01	1.785306813672357e+01	1.364777934292303e+03	
31	1.700000000000000e+01	0.000000000000000e+00	2.911093634422041e-03	-2.590575588158238e-02	1.360342327890861e+03	3.707315561659615e+01	1.779338008009294e+01	1.323747604262276e+03	
32	1.800000000000000e+01	0.000000000000000e+00	3.043801195392268e-03	-2.539255518373030e-02	1.318285932178680e+03	3.591875505442124e+01	1.775434107739624e+01	1.282858699730414e+03	
